depth	ratio(N/Ti)
5.38e-08	0.957167
5.4e-08	0.957167
5.42e-08	0.957166
5.44e-08	0.957166
5.46e-08	0.957166
5.48e-08	0.957165
5.5e-08	0.957165
5.52e-08	0.957165
5.54e-08	0.957165
5.56e-08	0.957164
5.58e-08	0.957164
5.6e-08	0.957164
5.62e-08	0.957163
5.64e-08	0.957163
5.66e-08	0.957163
5.68e-08	0.957162
5.7e-08	0.957162
5.72e-08	0.957162
5.74e-08	0.957162
5.76e-08	0.957161
5.78e-08	0.957161
5.8e-08	0.957161
5.82e-08	0.95716
5.84e-08	0.95716
5.86e-08	0.95716
5.88e-08	0.95716
5.9e-08	0.957159
5.92e-08	0.957159
5.94e-08	0.957159
5.96e-08	0.957158
5.98e-08	0.957158
6e-08	0.957158
6.02e-08	0.957157
6.04e-08	0.957157
6.06e-08	0.957157
6.08e-08	0.957157
6.1e-08	0.957156
6.12e-08	0.957156
6.14e-08	0.957156
6.16e-08	0.957155
6.18e-08	0.957155
6.2e-08	0.957155
6.22e-08	0.957154
6.24e-08	0.957154
6.26e-08	0.957154
6.28e-08	0.957154
6.3e-08	0.957153
6.32e-08	0.957153
6.34e-08	0.957153
6.36e-08	0.957152
6.38e-08	0.957152
6.4e-08	0.957152
6.42e-08	0.957151
6.44e-08	0.957151
6.46e-08	0.957151
6.48e-08	0.95715
6.5e-08	0.95715
6.52e-08	0.95715
6.54e-08	0.95715
6.56e-08	0.957149
6.58e-08	0.957149
6.6e-08	0.957149
6.62e-08	0.957148
6.64e-08	0.957148
6.66e-08	0.957148
6.68e-08	0.957147
6.7e-08	0.957147
6.72e-08	0.957147
6.74e-08	0.957146
6.76e-08	0.957146
6.78e-08	0.957146
6.8e-08	0.957145
6.82e-08	0.957145
6.84e-08	0.957145
6.86e-08	0.957145
6.88e-08	0.957144
6.9e-08	0.957144
6.92e-08	0.957144
6.94e-08	0.957143
6.96e-08	0.957143
6.98e-08	0.957143
7e-08	0.957142
7.02e-08	0.957142
7.04e-08	0.957142
7.06e-08	0.957141
7.08e-08	0.957141
7.1e-08	0.957141
7.12e-08	0.95714
7.14e-08	0.95714
7.16e-08	0.95714
7.18e-08	0.957139
7.2e-08	0.957139
7.22e-08	0.957139
7.24e-08	0.957138
7.26e-08	0.957138
7.28e-08	0.957138
7.3e-08	0.957138
7.32e-08	0.957137
7.34e-08	0.957137
7.36e-08	0.957137
7.38e-08	0.957136
7.4e-08	0.957136
7.42e-08	0.957136
7.44e-08	0.957135
7.46e-08	0.957135
7.48e-08	0.957135
7.5e-08	0.957134
7.52e-08	0.957134
7.54e-08	0.957134
7.56e-08	0.957133
7.58e-08	0.957133
7.6e-08	0.957133
7.62e-08	0.957132
7.64e-08	0.957132
7.66e-08	0.957132
7.68e-08	0.957131
7.7e-08	0.957131
7.72e-08	0.957131
7.74e-08	0.95713
7.76e-08	0.95713
7.78e-08	0.95713
7.8e-08	0.957129
7.82e-08	0.957129
7.84e-08	0.957129
7.86e-08	0.957128
7.88e-08	0.957128
7.9e-08	0.957128
7.92e-08	0.957127
7.94e-08	0.957127
7.96e-08	0.957127
7.98e-08	0.957126
8e-08	0.957126
8.02e-08	0.957126
8.04e-08	0.957125
8.06e-08	0.957125
8.08e-08	0.957125
8.1e-08	0.957124
8.12e-08	0.957124
8.14e-08	0.957124
8.16e-08	0.957123
8.18e-08	0.957123
8.2e-08	0.957123
8.22e-08	0.957122
8.24e-08	0.957122
8.26e-08	0.957122
8.28e-08	0.957121
8.3e-08	0.957121
8.32e-08	0.957121
8.34e-08	0.95712
8.36e-08	0.95712
8.38e-08	0.95712
8.4e-08	0.957119
8.42e-08	0.957119
8.44e-08	0.957119
8.46e-08	0.957118
8.48e-08	0.957118
8.5e-08	0.957118
8.52e-08	0.957117
8.54e-08	0.957117
8.56e-08	0.957116
8.58e-08	0.957116
8.6e-08	0.957116
8.62e-08	0.957115
8.64e-08	0.957115
8.66e-08	0.957115
8.68e-08	0.957114
8.7e-08	0.957114
8.72e-08	0.957114
8.74e-08	0.957113
8.76e-08	0.957113
8.78e-08	0.957113
8.8e-08	0.957112
8.82e-08	0.957112
8.84e-08	0.957112
8.86e-08	0.957111
8.88e-08	0.957111
8.9e-08	0.957111
8.92e-08	0.95711
8.94e-08	0.95711
8.96e-08	0.957109
8.98e-08	0.957109
9e-08	0.957109
9.02e-08	0.957108
9.04e-08	0.957108
9.06e-08	0.957108
9.08e-08	0.957107
9.1e-08	0.957107
9.12e-08	0.957107
9.14e-08	0.957106
9.16e-08	0.957106
9.18e-08	0.957106
9.2e-08	0.957105
9.22e-08	0.957105
9.24e-08	0.957105
9.26e-08	0.957104
9.28e-08	0.957104
9.3e-08	0.957103
9.32e-08	0.957103
9.34e-08	0.957103
9.36e-08	0.957102
9.38e-08	0.957102
9.4e-08	0.957102
9.42e-08	0.957101
9.44e-08	0.957101
9.46e-08	0.957101
9.48e-08	0.9571
9.5e-08	0.9571
9.52e-08	0.957099
9.54e-08	0.957099
9.56e-08	0.957099
9.58e-08	0.957098
9.6e-08	0.957098
9.62e-08	0.957098
9.64e-08	0.957097
9.66e-08	0.957097
9.68e-08	0.957097
9.7e-08	0.957096
9.72e-08	0.957096
9.74e-08	0.957095
9.76e-08	0.957095
9.78e-08	0.957095
9.8e-08	0.957094
9.82e-08	0.957094
9.84e-08	0.957094
9.86e-08	0.957093
9.88e-08	0.957093
9.9e-08	0.957092
9.92e-08	0.957092
9.94e-08	0.957092
9.96e-08	0.957091
9.98e-08	0.957091
1e-07	0.957091
1.002e-07	0.95709
1.004e-07	0.95709
1.006e-07	0.957089
1.008e-07	0.957089
1.01e-07	0.957089
1.012e-07	0.957088
1.014e-07	0.957088
1.016e-07	0.957088
1.018e-07	0.957087
1.02e-07	0.957087
1.022e-07	0.957086
1.024e-07	0.957086
1.026e-07	0.957086
1.028e-07	0.957085
1.03e-07	0.957085
1.032e-07	0.957085
1.034e-07	0.957084
1.036e-07	0.957084
1.038e-07	0.957083
1.04e-07	0.957083
1.042e-07	0.957083
1.044e-07	0.957082
1.046e-07	0.957082
1.048e-07	0.957081
1.05e-07	0.957081
1.052e-07	0.957081
1.054e-07	0.95708
1.056e-07	0.95708
1.058e-07	0.95708
1.06e-07	0.957079
1.062e-07	0.957079
1.064e-07	0.957078
1.066e-07	0.957078
1.068e-07	0.957078
1.07e-07	0.957077
1.072e-07	0.957077
1.074e-07	0.957076
1.076e-07	0.957076
1.078e-07	0.957076
1.08e-07	0.957075
1.082e-07	0.957075
1.084e-07	0.957075
1.086e-07	0.957074
1.088e-07	0.957074
1.09e-07	0.957073
1.092e-07	0.957073
1.094e-07	0.957073
1.096e-07	0.957072
1.098e-07	0.957072
1.1e-07	0.957071
1.102e-07	0.957071
1.104e-07	0.957071
1.106e-07	0.95707
1.108e-07	0.95707
1.11e-07	0.957069
1.112e-07	0.957069
1.114e-07	0.957069
1.116e-07	0.957068
1.118e-07	0.957068
1.12e-07	0.957067
1.122e-07	0.957067
1.124e-07	0.957067
1.126e-07	0.957066
1.128e-07	0.957066
1.13e-07	0.957065
1.132e-07	0.957065
1.134e-07	0.957065
1.136e-07	0.957064
1.138e-07	0.957064
1.14e-07	0.957063
1.142e-07	0.957063
1.144e-07	0.957063
1.146e-07	0.957062
1.148e-07	0.957062
1.15e-07	0.957061
1.152e-07	0.957061
1.154e-07	0.957061
1.156e-07	0.95706
1.158e-07	0.95706
1.16e-07	0.957059
1.162e-07	0.957059
1.164e-07	0.957058
1.166e-07	0.957058
1.168e-07	0.957058
1.17e-07	0.957057
1.172e-07	0.957057
1.174e-07	0.957056
1.176e-07	0.957056
1.178e-07	0.957056
1.18e-07	0.957055
1.182e-07	0.957055
1.184e-07	0.957054
1.186e-07	0.957054
1.188e-07	0.957054
1.19e-07	0.957053
1.192e-07	0.957053
1.194e-07	0.957052
1.196e-07	0.957052
1.198e-07	0.957051
1.2e-07	0.957051
1.202e-07	0.957051
1.204e-07	0.95705
1.206e-07	0.95705
1.208e-07	0.957049
1.21e-07	0.957049
1.212e-07	0.957049
1.214e-07	0.957048
1.216e-07	0.957048
1.218e-07	0.957047
